time	sip	dip	port	protocol	up_length	down_length
2015-04-23 23:30:10.409	10.49.212.2	10.49.36.156	80	http	14410	63209
2015-04-23 23:42:45.510	10.49.137.131	10.24.64.34	6682	redis	897	29
2015-04-23 23:42:45.538	10.49.137.131	10.24.64.34	6682	unknown	825	0
2015-04-23 23:42:45.547	10.49.137.131	10.24.64.34	6682	redis	807	118
2015-04-23 23:42:45.547	10.49.137.131	10.24.64.34	6682	redis	897	118
2015-04-23 23:42:45.556	10.49.137.131	10.24.64.34	6682	redis	807	118
2015-04-23 23:42:45.574	10.49.137.131	10.24.64.34	6682	redis	1091	118
2015-04-23 23:42:45.583	10.49.137.131	10.24.64.34	6682	redis	825	118
2015-04-23 23:42:45.583	10.49.137.131	10.24.64.34	6682	redis	807	118
2015-04-23 23:43:45.315	10.49.137.131	10.24.64.34	6682	redis	3315	430
2015-04-23 23:43:45.324	10.49.137.131	10.24.64.34	6682	redis	3035	430
2015-04-23 23:43:45.351	10.49.137.131	10.24.64.34	6682	redis	3245	166
2015-04-23 23:43:45.360	10.49.137.131	10.24.64.34	6682	redis	3245	430
2015-04-23 23:43:45.360	10.49.137.131	10.24.64.34	6682	redis	3315	430
2015-04-23 23:43:45.379	10.49.137.131	10.24.64.34	6682	redis	3315	65
2015-04-23 23:43:45.388	10.49.137.131	10.24.64.34	6682	redis	3245	322
2015-04-23 23:43:45.405	10.49.137.131	10.24.64.34	6682	redis	3315	262
2015-04-23 23:43:45.414	10.49.137.131	10.24.64.34	6682	redis	3245	262
2015-04-23 23:43:45.414	10.49.137.131	10.24.64.34	6682	redis	4015	46
2015-04-23 23:43:48.259	10.49.137.2	10.24.64.113	8360	http	588	0
2015-04-23 23:44:03.125	10.49.137.2	10.24.64.113	8360	http	580	211
2015-04-23 23:44:27.183	10.49.212.2	10.49.253.30	80	http	429	380
2015-04-23 23:44:39.748	10.56.92.182	10.24.249.99	3306	mysql	170	206
2015-04-23 23:44:45.156	10.49.137.131	10.24.64.34	6682	redis	400	58
2015-04-23 23:44:45.156	10.49.137.131	10.24.64.34	6682	redis	512	58
2015-04-23 23:44:45.156	10.49.137.131	10.24.64.34	6682	redis	432	58
2015-04-23 23:44:45.174	10.49.137.131	10.24.64.34	6682	redis	5547	322
2015-04-23 23:44:45.174	10.49.137.131	10.24.64.34	6682	redis	512	58
2015-04-23 23:44:45.192	10.49.137.131	10.24.64.34	6682	redis	446	58
2015-04-23 23:44:45.192	10.49.137.131	10.24.64.34	6682	redis	512	58
2015-04-23 23:44:45.200	10.49.137.131	10.24.64.34	6682	redis	512	58
2015-04-23 23:44:45.219	10.49.137.131	10.24.64.34	6682	redis	424	58
2015-04-23 23:45:45.601	10.49.137.131	10.24.64.34	6682	redis	2610	106
2015-04-23 23:45:45.601	10.49.137.131	10.24.64.34	6682	redis	2550	101
2015-04-23 23:45:45.610	10.49.137.131	10.24.64.34	6682	redis	3450	209
2015-04-23 23:45:45.610	10.49.137.131	10.24.64.34	6682	redis	2550	41
2015-04-23 23:45:45.610	10.49.137.131	10.24.64.34	6682	redis	2610	58
2015-04-23 23:45:45.638	10.49.137.131	10.24.64.34	6682	redis	2850	29
2015-04-23 23:45:45.647	10.49.137.131	10.24.64.34	6682	redis	2850	370
2015-04-23 23:45:45.647	10.49.137.131	10.24.64.34	6682	redis	3450	370
2015-04-23 23:45:45.647	10.49.137.131	10.24.64.34	6682	redis	2550	353
2015-04-23 23:45:45.665	10.49.137.131	10.24.64.34	6682	redis	2790	29
2015-04-23 23:45:45.674	10.49.137.131	10.24.64.34	6682	redis	2850	370
2015-04-23 23:45:45.683	10.49.137.131	10.24.64.34	6682	redis	2850	370
2015-04-23 23:45:45.683	10.49.137.131	10.24.64.34	6682	redis	2790	370
2015-04-23 23:45:45.700	10.49.137.131	10.24.64.34	6682	redis	5454	389
2015-04-23 23:46:45.109	10.49.137.131	10.24.64.34	6682	redis	2664	5
2015-04-23 23:46:45.118	10.49.137.131	10.24.64.34	6682	redis	2664	346
2015-04-23 23:46:45.118	10.49.137.131	10.24.64.34	6682	redis	2384	5
2015-04-23 23:46:45.118	10.49.137.131	10.24.64.34	6682	redis	2664	346
2015-04-23 23:46:45.145	10.49.137.131	10.24.64.34	6682	redis	2384	346
2015-04-23 23:46:45.208	10.49.137.131	10.24.64.34	6682	redis	2440	346
2015-04-23 23:46:56.198	10.49.212.2	10.49.253.30	80	http	369	399
2015-04-23 23:47:45.382	10.49.137.131	10.24.64.34	6682	redis	2185	269
2015-04-23 23:47:45.409	10.49.137.131	10.24.64.34	6682	redis	2135	310
2015-04-23 23:47:45.418	10.49.137.131	10.24.64.34	6682	redis	2885	10
2015-04-23 23:47:45.418	10.49.137.131	10.24.64.34	6682	redis	2335	46
2015-04-23 23:47:45.427	10.49.137.131	10.24.64.34	6682	redis	2135	310
2015-04-23 23:47:45.454	10.49.137.131	10.24.64.34	6682	redis	2135	310
2015-04-23 23:47:45.463	10.49.137.131	10.24.64.34	6682	redis	2385	185
2015-04-23 23:47:45.472	10.49.137.131	10.24.64.34	6682	redis	2385	221
2015-04-23 23:48:31.975	10.56.162.217	10.24.64.227	8360	unknown	87	161
2015-04-23 23:48:37.627	10.54.251.109	117.34.77.208	80	http	286	843
2015-04-23 23:48:37.627	10.54.251.109	117.34.77.208	80	http	286	843
2015-04-23 23:48:45.114	10.49.137.131	10.24.64.34	6682	redis	74	17
2015-04-23 23:48:45.132	10.49.137.131	10.24.64.34	6682	redis	2659	286
2015-04-23 23:48:45.141	10.49.137.131	10.24.64.34	6682	redis	2199	190
2015-04-23 23:49:45.522	10.49.137.131	10.24.64.34	6682	redis	1720	250
2015-04-23 23:49:45.522	10.49.137.131	10.24.64.34	6682	redis	1920	250
2015-04-23 23:49:45.531	10.49.137.131	10.24.64.34	6682	redis	2881	382
2015-04-23 23:49:45.568	10.49.137.131	10.24.64.34	6682	redis	1880	250
2015-04-23 23:49:45.568	10.49.137.131	10.24.64.34	6682	redis	1720	142
2015-04-23 23:49:45.577	10.49.137.131	10.24.64.34	6682	redis	1920	250
2015-04-23 23:49:45.586	10.49.137.131	10.24.64.34	6682	redis	1920	250
2015-04-23 23:49:45.630	10.49.137.131	10.24.64.34	6682	redis	1920	118
2015-04-23 23:49:45.630	10.49.137.131	10.24.64.34	6682	redis	6727	113
2015-04-23 23:50:45.762	10.49.137.131	10.24.64.34	6682	redis	5547	178
2015-04-23 23:50:45.951	10.49.137.131	10.24.64.34	6682	redis	5547	185
2015-04-23 23:50:45.951	10.49.137.131	10.24.64.34	6682	redis	5547	622
2015-04-23 23:50:45.951	10.49.137.131	10.24.64.34	6682	redis	6727	485
2015-04-23 23:50:45.951	10.49.137.131	10.24.64.34	6682	redis	6727	226
2015-04-23 23:50:45.951	10.49.137.131	10.24.64.34	6682	redis	5075	485
2015-04-23 23:50:45.951	10.49.137.131	10.24.64.34	6682	redis	3878	70
2015-04-23 23:50:45.951	10.49.137.131	10.24.64.34	6682	redis	3878	562
2015-04-23 23:51:45.017	10.49.137.131	10.24.64.34	6682	redis	1868	202
2015-04-23 23:51:45.062	10.49.137.131	10.24.64.34	6682	redis	1548	202
2015-04-23 23:51:45.071	10.49.137.131	10.24.64.34	6682	redis	1548	106
2015-04-23 23:51:45.071	10.49.137.131	10.24.64.34	6682	redis	1420	202
2015-04-23 23:51:45.080	10.49.137.131	10.24.64.34	6682	redis	1868	202
2015-04-23 23:51:45.080	10.49.137.131	10.24.64.34	6682	redis	1548	202
2015-04-23 23:51:45.099	10.49.137.131	10.24.64.34	6682	redis	1548	202
2015-04-23 23:51:45.099	10.49.137.131	10.24.64.34	6682	redis	1420	202
2015-04-23 23:51:45.099	10.49.137.131	10.24.64.34	6682	redis	1516	202
2015-04-23 23:51:45.116	10.49.137.131	10.24.64.34	6682	redis	1516	77
2015-04-23 23:51:45.125	10.49.137.131	10.24.64.34	6682	redis	1548	202
2015-04-23 23:52:27.605	10.49.36.156	10.77.216.132	135	dce_rpc	272	236
2015-04-23 23:52:34.959	10.56.4.81	180.149.132.99	80	http	644	281
2015-04-23 23:52:38.847	10.49.178.157	10.49.174.152	3306	mysql	355	386
2015-04-23 23:52:45.704	10.49.137.131	10.24.64.34	6682	redis	4708	401
2015-04-23 23:52:45.713	10.49.137.131	10.24.64.34	6682	redis	4708	274
2015-04-23 23:52:45.731	10.49.137.131	10.24.64.34	6682	redis	5156	173
2015-04-23 23:52:45.731	10.49.137.131	10.24.64.34	6682	redis	5268	682
2015-04-23 23:52:45.768	10.49.137.131	10.24.64.34	6682	redis	6727	113
2015-04-23 23:52:45.777	10.49.137.131	10.24.64.34	6682	redis	5268	305
2015-04-23 23:52:54.308	10.56.183.131	115.239.211.92	80	http	2304	578
2015-04-23 23:53:05.783	10.56.92.182	10.24.249.99	3306	mysql	170	93
2015-04-23 23:53:08.177	10.56.199.123	121.10.173.19	80	http	444	226
2015-04-23 23:53:39.515	10.49.212.201	10.49.22.82	21	ftp_control	22	398
2015-04-23 23:53:41.657	10.49.212.201	10.49.22.82	21	ftp_control	24	398
2015-04-23 23:53:42.494	10.49.216.83	10.49.216.57	9123	unknown	1	1
2015-04-23 23:53:42.629	10.49.212.201	10.49.22.82	21	ftp_control	26	398
2015-04-23 23:53:42.674	10.56.148.233	180.149.135.236	80	http	1896	326
2015-04-23 23:53:42.854	10.49.212.2	10.49.253.30	80	http	723	394
2015-04-23 23:53:42.999	10.49.212.201	10.49.22.82	21	ftp_control	26	352
2015-04-23 23:53:43.196	10.56.92.182	10.24.249.99	3306	mysql	170	206
2015-04-23 23:53:43.501	10.49.216.83	10.49.216.57	9123	unknown	1	1
2015-04-23 23:53:43.600	10.49.21.10	10.49.223.158	80	http	452	192
2015-04-23 23:53:44.609	10.49.21.10	10.49.223.158	80	http	455	192
2015-04-23 23:53:44.645	10.49.212.201	10.49.22.82	21	ftp_control	24	398
2015-04-23 23:53:45.068	10.49.137.131	10.24.64.34	6682	redis	606	82
2015-04-23 23:53:45.077	10.49.137.131	10.24.64.34	6682	redis	618	82
2015-04-23 23:53:45.086	10.49.137.131	10.24.64.34	6682	redis	807	118
2015-04-23 23:53:45.095	10.49.137.2	10.24.64.113	8360	http	578	211
2015-04-23 23:53:45.103	10.49.137.131	10.24.64.34	6682	redis	606	41
2015-04-23 23:53:45.112	10.49.137.131	10.24.64.34	6682	redis	897	118
2015-04-23 23:53:45.121	10.49.137.131	10.24.64.34	6682	redis	897	118
2015-04-23 23:53:45.121	10.49.137.131	10.24.64.34	6682	redis	584	82
2015-04-23 23:53:45.130	10.49.137.131	10.24.64.34	6682	redis	897	118
2015-04-23 23:53:45.176	10.49.137.131	10.24.64.34	6682	redis	570	82
2015-04-23 23:53:45.248	10.49.137.2	10.24.64.113	8360	http	562	211
2015-04-23 23:53:45.293	10.49.137.2	10.24.64.113	8360	http	569	211
2015-04-23 23:53:45.545	10.49.137.2	10.24.64.113	8360	http	578	211
2015-04-23 23:53:45.699	10.49.137.2	10.24.64.113	8360	http	587	211
2015-04-23 23:53:45.905	10.49.137.2	10.24.64.113	8360	http	569	211
2015-04-23 23:53:45.950	10.49.137.2	10.24.64.113	8360	http	586	211
2015-04-23 23:53:46.229	10.56.92.182	10.24.249.99	3306	mysql	170	206
2015-04-23 23:53:46.265	10.49.137.2	10.24.64.113	8360	http	570	211
2015-04-23 23:53:46.481	10.49.137.2	10.24.64.113	8360	http	577	211
2015-04-23 23:53:46.553	10.49.137.2	10.24.64.113	8360	http	577	211
2015-04-23 23:53:46.733	10.49.137.2	10.24.64.113	8360	http	568	211
2015-04-23 23:53:47.020	10.49.137.2	10.24.64.113	8360	http	578	211
2015-04-23 23:53:47.336	10.56.162.217	10.24.64.227	8360	unknown	89	161
